HANDLE,c_address,c_lra,c_typeDetail,c_typeSimple
11274000290,3111 RUTGER ST,FALSE,"vacant building, confirmed",building
11322000250,2637 ALLEN AV,FALSE,"vacant building, possible",building
11348000160,2337 RUSSELL BLVD,FALSE,"vacant building, possible",building
11378000060,2230 OREGON AV,FALSE,"vacant building, possible",building
11400200010,2240-2 GAINE ST,FALSE,"vacant building, confirmed",building
11416000030,2862 WISCONSIN AV,FALSE,"vacant building, possible",building
11422000161,2828 OHIO AV,FALSE,"vacant building, possible",building
11436000320,2343 VIRGINIA AV,FALSE,"vacant building, possible",building
11456000030,3004 VIRGINIA AV,FALSE,"vacant building, possible",building
11475000240,3159 OREGON AV,FALSE,"vacant building, confirmed",building
11509000300,3241 OREGON AV,FALSE,"vacant building, possible",building
11516000380,2727 UTAH ST,FALSE,"vacant building, confirmed",building
11528000190,3303 WISCONSIN AV,FALSE,"vacant building, confirmed",building
11554000100,3434 ILLINOIS AV,FALSE,"vacant building, possible",building
11556000030,3532 MISSOURI AV,FALSE,"vacant building, possible",building
11572000120,3426-8 OREGON AV,FALSE,"vacant building, possible",building
11574000220,3500 NEBRASKA AV,FALSE,"vacant building, possible",building
11575000041,3530 PENNSYLVANIA AV,FALSE,"vacant building, possible",building
11578000030,3538-40 MINNESOTA AV,FALSE,"vacant building, possible",building
11578000260,3531 PENNSYLVANIA AV,FALSE,"vacant building, possible",building
11580000340,3117 POTOMAC ST,FALSE,"vacant building, possible",building
11584000201,3423 S COMPTON AV,FALSE,"vacant building, possible",building
11614000280,3427 DUNNICA AV,FALSE,"vacant building, possible",building
11627000230,3837 PENNSYLVANIA AV,FALSE,"vacant building, possible",building
11641000190,2722 MIAMI ST,FALSE,"vacant building, confirmed",building
11646000310,2635 CHIPPEWA ST,TRUE,"vacant lot, confirmed",lot
11654000260,3637 MISSOURI AV,FALSE,"vacant lot, confirmed",lot
11667050170,3655 MARINE AV,FALSE,"vacant lot, possible",lot
11709220040,2215 SCOTT AV,FALSE,"vacant building, possible",building
11742000142,3521 N 22ND ST,FALSE,"vacant lot, possible",lot
11802000321,2621 MCNAIR AV,FALSE,"vacant building, possible",building
11867050010,3727 DR MARTIN LUTHER KING DR,TRUE,"vacant lot, confirmed",lot
11868000250,3751 CASS AV,TRUE,"vacant lot, confirmed",lot
11874000080,2520-2 N SPRING AV,FALSE,"vacant lot, confirmed",lot
11875000010,2501-5 N GRAND BLVD,TRUE,"vacant lot, confirmed",lot
11885000050,1718 N GRAND BLVD,FALSE,"vacant lot, possible",lot
11898000140,2610 GLASGOW AV,FALSE,"vacant building, confirmed",building
11972000130,2931 INDIANA AV,FALSE,"vacant building, confirmed",building
11994000010,2930 OHIO AV,FALSE,"vacant building, confirmed",building
12126000320,3843 MCREE AV,FALSE,"vacant building, confirmed",building
12404000020,3930 N FLORISSANT AV,FALSE,"vacant building, confirmed",building
12442000320,4417 RANDALL PL,FALSE,"vacant building, confirmed",building
12547000100,3117-21 N 9TH ST,FALSE,"vacant building, confirmed",building
12570000005,3956 PENNSYLVANIA AV,FALSE,"vacant building, confirmed",building
